jUCf,FpPMUiwXLDA,"[2, 7, 437, 1155]",
O5Cf,,"[0, 1, 532]",
MjCf,Fv-y-qTiyD4,"[9, 1566]",
c2Cf,L0OeDvzMzKk,"[15, 18, 87, 365]","[{'text': 'whoever sees that he has no idea what', 'start': 1.71, 'duration': 6.38}, {'text': ""he's in for first ride in three weeks"", 'start': 4.92, 'duration': 5.219}, {'text': ""maybe I don't know what I'm in for I"", 'start': 8.09, 'duration': 4.679}, {'text': ""hope I don't die"", 'start': 10.139, 'duration': 2.63}, {'text': 'whoa rumor like man', 'start': 27.21, 'duration': 9.62}, {'text': 'yeah', 'start': 123.03, 'duration': 2.54}, {'text': ""so Brianna's going to ride rumored for"", 'start': 137.849, 'duration': 5.821}, {'text': ""the first time in three weeks he's still"", 'start': 140.129, 'duration': 7.14}, {'text': 'a little bit stiff to the left at the', 'start': 143.67, 'duration': 5.819}, {'text': 'canter but his trot is looking good so', 'start': 147.269, 'duration': 4.58}, {'text': ""we're just gonna walk and trot him today"", 'start': 149.489, 'duration': 5.461}, {'text': ""and hopefully he's not too crazy and"", 'start': 151.849, 'duration': 6.121}, {'text': ""Brienne doesn't die"", 'start': 154.95, 'duration': 3.02}, {'text': ""when we're getting a bath he was really"", 'start': 290.15, 'duration': 8.09}, {'text': 'good today the boy everywhere', 'start': 293.419, 'duration': 4.821}, {'text': 'so this is probably the end of our vlog', 'start': 331.01, 'duration': 5.35}, {'text': ""there's room we're eating his lunch he"", 'start': 334.17, 'duration': 3.39}, {'text': 'was a very good boy', 'start': 336.36, 'duration': 3.0}, {'text': ""he listened really well and he didn't"", 'start': 337.56, 'duration': 4.53}, {'text': ""look loose or anything so yeah we're"", 'start': 339.36, 'duration': 3.93}, {'text': 'gonna do a same thing with him tomorrow', 'start': 342.09, 'duration': 4.77}, {'text': 'probably just walking trot and yeah', 'start': 343.29, 'duration': 5.25}, {'text': ""we're gonna go home now and clean all"", 'start': 346.86, 'duration': 3.48}, {'text': 'his winter blanket so that should be fun', 'start': 348.54, 'duration': 5.31}, {'text': ""and we may or may not film it we're not"", 'start': 350.34, 'duration': 8.52}, {'text': 'sure yet so so we are cleaning rumors', 'start': 353.85, 'duration': 6.27}, {'text': 'blanket so you were gonna get them', 'start': 358.86, 'duration': 2.82}, {'text': 'professionally done but we decided to', 'start': 360.12, 'duration': 3.12}, {'text': ""try to save some money if this doesn't"", 'start': 361.68, 'duration': 2.85}, {'text': ""work then maybe we'll just get them"", 'start': 363.24, 'duration': 2.82}, {'text': 'cleaned anyways but we thought we would', 'start': 364.53, 'duration': 5.13}, {'text': ""try to do it ourselves and I don't think"", 'start': 366.06, 'duration': 6.21}, {'text': 'they would fit in our washing machine so', 'start': 369.66, 'duration': 6.21}, {'text': ""we're doing this and we're just using"", 'start': 372.27, 'duration': 14.7}, {'text': ""soap in the hose okay so we're done"", 'start': 375.87, 'duration': 12.93}, {'text': 'washing the blankets we just have them', 'start': 386.97, 'duration': 4.68}, {'text': 'hanging on our deck to dry and I think', 'start': 388.8, 'duration': 4.41}, {'text': ""it was pretty much a fail they're still"", 'start': 391.65, 'duration': 3.51}, {'text': 'really dirty and it was a lot of work so', 'start': 393.21, 'duration': 3.54}, {'text': 'next time we will definitely get them', 'start': 395.16, 'duration': 3.42}, {'text': 'professionally washed and we may still', 'start': 396.75, 'duration': 3.57}, {'text': ""bring them to a laundromat we're not"", 'start': 398.58, 'duration': 6.74}, {'text': 'sure so yeah that is the end of our vlog', 'start': 400.32, 'duration': 5.0}]"
JrCf,9KpxBcHP8rw,[1329],
zRCf,ufCRfE9IgoQ,"[0, 1, 1385, 1949]","[{'text': ""hey what's up guys it is our fasters aka"", 'start': 10.5, 'duration': 5.77}, {'text': 'Jesus Saves and this feed is going to be', 'start': 13.87, 'duration': 6.06}, {'text': 'really short but this character right', 'start': 16.27, 'duration': 5.43}, {'text': 'here is actually a character that I', 'start': 19.93, 'duration': 4.83}, {'text': ""recently made um it's pretty much my"", 'start': 21.7, 'duration': 3.51}, {'text': 'fault', 'start': 24.76, 'duration': 2.94}, {'text': ""it's called bastards RS as you can see"", 'start': 25.21, 'duration': 5.909}, {'text': ""he's just a mastery level one and I"", 'start': 27.7, 'duration': 6.949}, {'text': 'actually tried to get him to join the', 'start': 31.119, 'duration': 7.471}, {'text': 'the dojo that I have and Jesus Saves is', 'start': 34.649, 'duration': 6.731}, {'text': 'a clan and when I tried to it says you', 'start': 38.59, 'duration': 5.129}, {'text': ""don't have the key to enter the dojo do"", 'start': 41.38, 'duration': 5.31}, {'text': 'you want to craft it um or says like if', 'start': 43.719, 'duration': 4.71}, {'text': 'you still need the requirements or', 'start': 46.69, 'duration': 4.02}, {'text': 'something like that um pretty much when', 'start': 48.429, 'duration': 4.65}, {'text': 'you start out the game you have to', 'start': 50.71, 'duration': 4.469}, {'text': 'unlock some I think they call it', 'start': 53.079, 'duration': 4.201}, {'text': 'segments pretty much areas of your', 'start': 55.179, 'duration': 4.801}, {'text': 'little license or you know little', 'start': 57.28, 'duration': 4.829}, {'text': 'spaceship you have to unlock them you', 'start': 59.98, 'duration': 3.719}, {'text': ""don't have to do missions it doesn't"", 'start': 62.109, 'duration': 3.181}, {'text': ""take too long it's like five missions or"", 'start': 63.699, 'duration': 3.091}, {'text': 'something and then your your whole', 'start': 65.29, 'duration': 3.869}, {'text': 'entire you know like ship is all nice -', 'start': 66.79, 'duration': 4.619}, {'text': 'all ready to go um you pretty much', 'start': 69.159, 'duration': 5.251}, {'text': 'unlock you know this you lock this stuff', 'start': 71.409, 'duration': 6.061}, {'text': 'down here like this stuff like you lock', 'start': 74.41, 'duration': 6.51}, {'text': 'the mods area you unlock to Arsenal and', 'start': 77.47, 'duration': 5.4}, {'text': 'the one that you want to unlock is a', 'start': 80.92, 'duration': 5.19}, {'text': 'foundry and the reason why is actually', 'start': 82.87, 'duration': 5.85}, {'text': 'because when you unlock the foundry you', 'start': 86.11, 'duration': 4.86}, {'text': 'actually already have a clam key right', 'start': 88.72, 'duration': 4.74}, {'text': 'here you just have to make it and the', 'start': 90.97, 'duration': 4.65}, {'text': 'way to make it is you need one morphic', 'start': 93.46, 'duration': 5.16}, {'text': 'you need 500 fare rights and you need', 'start': 95.62, 'duration': 6.57}, {'text': ""500 polymer bundle and that's not really"", 'start': 98.62, 'duration': 5.58}, {'text': ""that difficult to do that's actually"", 'start': 102.19, 'duration': 4.32}, {'text': 'really simple it just takes some time to', 'start': 104.2, 'duration': 5.07}, {'text': ""get all the supplies what I've been"", 'start': 106.51, 'duration': 5.34}, {'text': 'doing was actually going to mercury and', 'start': 109.27, 'duration': 7.04}, {'text': 'doing the boss on the mercury planet um', 'start': 111.85, 'duration': 6.63}, {'text': 'so this is pretty much the mission that', 'start': 116.31, 'duration': 4.75}, {'text': ""I was doing really simple to do didn't"", 'start': 118.48, 'duration': 5.4}, {'text': ""really take that long and yeah it's"", 'start': 121.06, 'duration': 5.4}, {'text': 'really easy to do and once you have all', 'start': 123.88, 'duration': 5.489}, {'text': 'those resources and stuff like that like', 'start': 126.46, 'duration': 4.469}, {'text': 'I said pretty much when you unlock this', 'start': 129.369, 'duration': 3.301}, {'text': 'right here the foundry after you', 'start': 130.929, 'duration': 2.761}, {'text': 'complete the you know the beginning', 'start': 132.67, 'duration': 3.149}, {'text': 'missions you automatically have this', 'start': 133.69, 'duration': 4.92}, {'text': 'little blueprint and all you need is', 'start': 135.819, 'duration': 5.401}, {'text': 'just some resources and when you make', 'start': 138.61, 'duration': 4.29}, {'text': 'this you can actually', 'start': 141.22, 'duration': 4.9}, {'text': 'join a dojo type of thing you can access', 'start': 142.9, 'duration': 7.36}, {'text': 'the dojo and it pretty much cost you one', 'start': 146.12, 'duration': 7.14}, {'text': 'one thousand five hundred credits and it', 'start': 150.26, 'duration': 6.179}, {'text': ""takes 12 hours to make and let's build"", 'start': 153.26, 'duration': 6.27}, {'text': ""it I guess so it's called a clan key to"", 'start': 156.439, 'duration': 4.8}, {'text': 'just make that and there you go now we', 'start': 159.53, 'duration': 4.679}, {'text': ""wait uh twelve hours and it'll be done"", 'start': 161.239, 'duration': 6.211}, {'text': 'and if you guys are wondering why you', 'start': 164.209, 'duration': 6.42}, {'text': ""want to don't join a dojo um dojo is"", 'start': 167.45, 'duration': 6.09}, {'text': 'actually give you a lot of things like', 'start': 170.629, 'duration': 5.521}, {'text': 'my current dojo um that I pretty much', 'start': 173.54, 'duration': 5.55}, {'text': 'have at the moment is actually it has', 'start': 176.15, 'duration': 8.55}, {'text': 'labs right now it has a trading post it', 'start': 179.09, 'duration': 7.319}, {'text': ""has a lot of cool stuff that's going to"", 'start': 184.7, 'duration': 4.289}, {'text': 'help your character out and stuff like', 'start': 186.409, 'duration': 4.98}, {'text': ""that that's a whole different topic in a"", 'start': 188.989, 'duration': 4.56}, {'text': 'different video but the dojos can really', 'start': 191.389, 'duration': 4.68}, {'text': 'help you out you know I can you know if', 'start': 193.549, 'duration': 3.75}, {'text': 'you join I can help you out with', 'start': 196.069, 'duration': 2.611}, {'text': 'submissions if you want to something', 'start': 197.299, 'duration': 4.08}, {'text': 'like that so if you guys wanted to see', 'start': 198.68, 'duration': 6.179}, {'text': 'the planned thing again there it is on', 'start': 201.379, 'duration': 7.23}, {'text': 'the clans called Jesus Saves and you can', 'start': 204.859, 'duration': 7.28}, {'text': ""add bastards that's pretty much my main"", 'start': 208.609, 'duration': 6.391}, {'text': ""so yeah that's pretty much all you got"", 'start': 212.139, 'duration': 5.5}, {'text': 'to do really just make the clan key and', 'start': 215.0, 'duration': 6.72}, {'text': 'you can join the clan and stuff a dojo', 'start': 217.639, 'duration': 5.701}, {'text': 'or you can make one yourself if you want', 'start': 221.72, 'duration': 3.9}, {'text': ""to but that's up to you"", 'start': 223.34, 'duration': 4.139}, {'text': ""that's about it really that's really"", 'start': 225.62, 'duration': 4.049}, {'text': ""really really short video it's really"", 'start': 227.479, 'duration': 5.611}, {'text': 'really basic but uh you know maybe some', 'start': 229.669, 'duration': 6.121}, {'text': 'of you guys are uh struggling to how to', 'start': 233.09, 'duration': 5.399}, {'text': 'actually do this and its really really', 'start': 235.79, 'duration': 5.369}, {'text': 'really simple and you guys might be like', 'start': 238.489, 'duration': 5.46}, {'text': ""why do I want to do this like let's say"", 'start': 241.159, 'duration': 5.28}, {'text': 'if you make it all - like I did um I', 'start': 243.949, 'duration': 6.03}, {'text': 'actually want to make an alt - well just', 'start': 246.439, 'duration': 5.431}, {'text': 'to start over fresh and stuff like that', 'start': 249.979, 'duration': 6.75}, {'text': 'um to make the mastery uh tests in the', 'start': 251.87, 'duration': 6.419}, {'text': 'game because I only started with like', 'start': 256.729, 'duration': 3.78}, {'text': 'seven eight and so on and so forth I', 'start': 258.289, 'duration': 4.591}, {'text': ""didn't actually do the earlier stages so"", 'start': 260.509, 'duration': 3.571}, {'text': 'this would be pretty cool so I can do', 'start': 262.88, 'duration': 2.7}, {'text': 'the earlier stages one so I can show you', 'start': 264.08, 'duration': 4.73}, {'text': 'guys how to do those mastery tests and', 'start': 265.58, 'duration': 5.459}, {'text': 'also when you actually create a new', 'start': 268.81, 'duration': 4.81}, {'text': 'character you actually gets I believe it', 'start': 271.039, 'duration': 4.231}, {'text': 'is 50 platinum', 'start': 273.62, 'duration': 3.84}, {'text': 'and what I did actually I went to the', 'start': 275.27, 'duration': 4.98}, {'text': 'components tab I got to formas and I', 'start': 277.46, 'duration': 5.94}, {'text': 'also got one tellurium and the reason', 'start': 280.25, 'duration': 4.53}, {'text': 'why is actually because I got actually', 'start': 283.4, 'duration': 3.93}, {'text': 'need that for a from the dojo to make no', 'start': 284.78, 'duration': 5.789}, {'text': 'more rooms and also for some something', 'start': 287.33, 'duration': 5.33}, {'text': ""I'm trying to research for the labs and"", 'start': 290.569, 'duration': 4.47}, {'text': 'you guys pretty much you can do that too', 'start': 292.66, 'duration': 5.11}, {'text': 'you know if you want to I guess but yeah', 'start': 295.039, 'duration': 4.5}, {'text': 'pretty much the main reason why I made', 'start': 297.77, 'duration': 4.459}, {'text': 'alt was pretty much for the master suite', 'start': 299.539, 'duration': 7.291}, {'text': 'videos to help you guys out um but yeah', 'start': 302.229, 'duration': 6.491}, {'text': ""that's about it really guys it's really"", 'start': 306.83, 'duration': 5.01}, {'text': ""basic it's really simple it's easy it's"", 'start': 308.72, 'duration': 6.12}, {'text': ""you know it's cool I guess but yeah I'll"", 'start': 311.84, 'duration': 5.4}, {'text': ""see you guys later though I'm sorry"", 'start': 314.84, 'duration': 5.069}, {'text': 'again because this is you know a short', 'start': 317.24, 'duration': 5.519}, {'text': 'video just really basic information but', 'start': 319.909, 'duration': 4.44}, {'text': 'maybe you guys needed help on this and', 'start': 322.759, 'duration': 3.891}, {'text': 'hopefully it did help you guys out and', 'start': 324.349, 'duration': 5.25}, {'text': 'yeah my name is bastards energy saves', 'start': 326.65, 'duration': 4.449}, {'text': ""I'm signing out my Jesus Christ be with"", 'start': 329.599, 'duration': 2.88}, {'text': 'you and god bless you guys make sure you', 'start': 331.099, 'duration': 2.581}, {'text': 'live in description down below house', 'start': 332.479, 'duration': 2.851}, {'text': 'money to play this link as my Twitter my', 'start': 333.68, 'duration': 2.669}, {'text': 'Twitter link and all that cool stuff', 'start': 335.33, 'duration': 2.76}, {'text': ""that's in the description down below but"", 'start': 336.349, 'duration': 2.641}, {'text': ""I'll see you guys later"", 'start': 338.09, 'duration': 3.48}, {'text': 'so yeah that was you guys Jesus Christ', 'start': 338.99, 'duration': 4.94}, {'text': 'be with you', 'start': 341.57, 'duration': 2.36}, {'text': 'you', 'start': 351.849, 'duration': 2.06}]"
SuCf,,[301],
67Cf,vI0TaGGSUKU,[251],"[{'text': 'all right YouTube well for those of you', 'start': 0.0, 'duration': 5.13}, {'text': 'that have asked what happened to my old', 'start': 2.22, 'duration': 7.129}, {'text': ""cabinet shop right there's my saw stop"", 'start': 5.13, 'duration': 11.239}, {'text': ""there's my planer there's my jointer"", 'start': 9.349, 'duration': 10.721}, {'text': ""there's my bandsaw yeah everything is in"", 'start': 16.369, 'duration': 5.341}, {'text': 'here', 'start': 20.07, 'duration': 5.369}, {'text': 'howdy YouTube Darlington farm here as', 'start': 21.71, 'duration': 5.649}, {'text': 'you can kind of see or as you saw there', 'start': 25.439, 'duration': 4.08}, {'text': ""rather that's what became of all my"", 'start': 27.359, 'duration': 4.5}, {'text': 'tools I had to move out of the building', 'start': 29.519, 'duration': 5.251}, {'text': 'I was in and also I am no longer working', 'start': 31.859, 'duration': 6.331}, {'text': ""on the Oak Street house I'm not gonna go"", 'start': 34.77, 'duration': 5.85}, {'text': 'into details but yeah not my problem', 'start': 38.19, 'duration': 5.76}, {'text': ""anymore so somebody else's problem so I"", 'start': 40.62, 'duration': 5.64}, {'text': 'have all my tools out of the building', 'start': 43.95, 'duration': 3.96}, {'text': ""that I was in they're all actually"", 'start': 46.26, 'duration': 4.26}, {'text': 'mostly in this barn behind me here and', 'start': 47.91, 'duration': 5.64}, {'text': 'then over in my hog barn and yeah', 'start': 50.52, 'duration': 4.32}, {'text': ""they've just been sitting dormant for"", 'start': 53.55, 'duration': 2.669}, {'text': 'the last year and I had to kind of', 'start': 54.84, 'duration': 4.14}, {'text': 'planned on putting up a new building out', 'start': 56.219, 'duration': 6.031}, {'text': 'here at the farm but wrapping up I think', 'start': 58.98, 'duration': 5.1}, {'text': 'I figured it was gonna cost me you know', 'start': 62.25, 'duration': 3.45}, {'text': 'even if I just do the work between the', 'start': 64.08, 'duration': 3.359}, {'text': 'concrete and the building of power and', 'start': 65.7, 'duration': 5.82}, {'text': 'everything about $30,000 and frankly the', 'start': 67.439, 'duration': 6.18}, {'text': 'reason I got out of woodworking was just', 'start': 71.52, 'duration': 4.59}, {'text': ""because it didn't pay you know I could"", 'start': 73.619, 'duration': 5.281}, {'text': 'barely break even on projects least', 'start': 76.11, 'duration': 5.22}, {'text': ""around here you know and I'd have to"", 'start': 78.9, 'duration': 4.859}, {'text': 'drive usually down to Indianapolis or', 'start': 81.33, 'duration': 3.99}, {'text': 'over the Danville Illinois which is you', 'start': 83.759, 'duration': 4.261}, {'text': 'know hour hour and 15 or so I never need', 'start': 85.32, 'duration': 5.49}, {'text': 'any sort of direction if I actually', 'start': 88.02, 'duration': 4.5}, {'text': 'wanted to be able to you know charge', 'start': 90.81, 'duration': 4.019}, {'text': 'enough to turn a profit and it just got', 'start': 92.52, 'duration': 3.9}, {'text': ""to where it just wasn't worth it and"", 'start': 94.829, 'duration': 4.231}, {'text': ""that's kind of a reason why I I kind of"", 'start': 96.42, 'duration': 4.32}, {'text': 'shut things down as far as the wood and', 'start': 99.06, 'duration': 3.269}, {'text': 'kind of moved over into welding is this', 'start': 100.74, 'duration': 3.69}, {'text': ""frankly it's money it's a you know I"", 'start': 102.329, 'duration': 4.32}, {'text': 'have I have a lot of money wrapped up in', 'start': 104.43, 'duration': 4.229}, {'text': ""equipment if you've been sort of"", 'start': 106.649, 'duration': 3.75}, {'text': 'subscriber for a while you kind of seen', 'start': 108.659, 'duration': 3.39}, {'text': 'the kind of tools tooling that I have', 'start': 110.399, 'duration': 5.97}, {'text': 'and you know for just breaking even it', 'start': 112.049, 'duration': 5.701}, {'text': ""just got to the point where it wasn't"", 'start': 116.369, 'duration': 2.79}, {'text': 'worth it so I kind of packed everything', 'start': 117.75, 'duration': 3.299}, {'text': 'up back out here the farm put it in', 'start': 119.159, 'duration': 4.201}, {'text': 'storage kind of figured I would deal', 'start': 121.049, 'duration': 5.161}, {'text': 'with it later and yeah my plan was to', 'start': 123.36, 'duration': 6.119}, {'text': 'put up a building but I kind of hate to', 'start': 126.21, 'duration': 4.799}, {'text': 'wrap up that kind of money and something', 'start': 129.479, 'duration': 3.331}, {'text': ""that really you know just didn't pay so"", 'start': 131.009, 'duration': 3.031}, {'text': ""what I think I'm gonna do"", 'start': 132.81, 'duration': 4.5}, {'text': 'and I have a lot of furniture I want to', 'start': 134.04, 'duration': 5.04}, {'text': 'build it for the farm and a lot of', 'start': 137.31, 'duration': 3.57}, {'text': 'projects I want to do for YouTube is the', 'start': 139.08, 'duration': 4.38}, {'text': 'space behind me is my horse barn and I', 'start': 140.88, 'duration': 3.9}, {'text': ""don't have any horses so what I'm gonna"", 'start': 143.46, 'duration': 4.44}, {'text': 'go ahead and do has just go ahead and', 'start': 144.78, 'duration': 4.83}, {'text': 'clean this out as you can see you know I', 'start': 147.9, 'duration': 3.63}, {'text': 'got my dust collector back there I got', 'start': 149.61, 'duration': 5.1}, {'text': 'my big bandsaw over here you know my saw', 'start': 151.53, 'duration': 4.68}, {'text': ""stop I'm actually kind of leaning up"", 'start': 154.71, 'duration': 4.83}, {'text': ""against I'm gonna go ahead and clean"", 'start': 156.21, 'duration': 4.92}, {'text': 'everything out in here and start setting', 'start': 159.54, 'duration': 3.06}, {'text': 'things up the only thing I really needed', 'start': 161.13, 'duration': 3.96}, {'text': 'to be able to run machinery out here is', 'start': 162.6, 'duration': 6.75}, {'text': 'power mainly I just need like a big', 'start': 165.09, 'duration': 7.8}, {'text': ""probably 50 amp 220 line and then that's"", 'start': 169.35, 'duration': 5.16}, {'text': 'pretty much it I should be able to go', 'start': 172.89, 'duration': 3.0}, {'text': 'ahead and start cranking out some', 'start': 174.51, 'duration': 3.93}, {'text': 'woodworking projects out here so keep', 'start': 175.89, 'duration': 4.5}, {'text': 'checking back to the channel here as I', 'start': 178.44, 'duration': 3.63}, {'text': ""clean this building out I'll probably go"", 'start': 180.39, 'duration': 3.48}, {'text': 'ahead and take lots of video as I go', 'start': 182.07, 'duration': 3.72}, {'text': 'along here and you know kind of like', 'start': 183.87, 'duration': 4.92}, {'text': ""some how-tos here and yeah I'll take the"", 'start': 185.79, 'duration': 4.29}, {'text': 'camera around here and kind of let you', 'start': 188.79, 'duration': 4.07}, {'text': ""see this building it's really gorgeous"", 'start': 190.08, 'duration': 5.25}, {'text': ""alright so as you can see here there's"", 'start': 192.86, 'duration': 5.29}, {'text': 'some really cool jointery out here in', 'start': 195.33, 'duration': 5.64}, {'text': 'this old barn some really terrifying', 'start': 198.15, 'duration': 4.92}, {'text': 'electric is also you can see there but', 'start': 200.97, 'duration': 6.3}, {'text': ""it's all you know hands-on and I"", 'start': 203.07, 'duration': 5.58}, {'text': 'actually know that looks like that was', 'start': 207.27, 'duration': 3.689}, {'text': ""cut on a circular mil but there's"", 'start': 208.65, 'duration': 4.23}, {'text': 'definitely some hand-hewn beams out here', 'start': 210.959, 'duration': 4.351}, {'text': ""and then it's all pegged together all"", 'start': 212.88, 'duration': 3.84}, {'text': ""right so I thought I'd go ahead and go"", 'start': 215.31, 'duration': 2.85}, {'text': 'handheld here and kind of give you a', 'start': 216.72, 'duration': 4.89}, {'text': 'tour if sort of how my tools and stuff', 'start': 218.16, 'duration': 5.06}, {'text': ""are at the moment there's my big"", 'start': 221.61, 'duration': 5.37}, {'text': 'Powermatic 18 inch bandsaw and then in', 'start': 223.22, 'duration': 5.41}, {'text': ""here there's the blower for my dust"", 'start': 226.98, 'duration': 3.3}, {'text': 'collector or not for my dust collector', 'start': 228.63, 'duration': 5.01}, {'text': 'for my paint booth a punching bag and', 'start': 230.28, 'duration': 5.929}, {'text': 'just kind of whatever random junk was', 'start': 233.64, 'duration': 5.19}, {'text': 'stored or whatever stuff I needed to be', 'start': 236.209, 'duration': 4.451}, {'text': ""stored there's the ladder that goes up"", 'start': 238.83, 'duration': 3.659}, {'text': 'into the loft and I can show you guys', 'start': 240.66, 'duration': 4.829}, {'text': 'that here in a minute and then over here', 'start': 242.489, 'duration': 5.391}, {'text': ""I've got a whole bunch of lumber storage"", 'start': 245.489, 'duration': 7.101}, {'text': 'and just leftovers from various projects', 'start': 247.88, 'duration': 7.3}, {'text': ""yeah say I've got a whole bunch of stuff"", 'start': 252.59, 'duration': 6.13}, {'text': ""out here more wood that I've been drying"", 'start': 255.18, 'duration': 7.26}, {'text': 'down over here right there you know', 'start': 258.72, 'duration': 8.28}, {'text': ""there's a whole bunch of walnut slabs"", 'start': 262.44, 'duration': 7.11}, {'text': 'and smaller walnut pieces over here no', 'start': 267.0, 'duration': 4.53}, {'text': ""by the way here's a big slab for you"", 'start': 269.55, 'duration': 8.22}, {'text': ""that is about six inches thick and it's"", 'start': 271.53, 'duration': 8.76}, {'text': ""about 7 feet tall there that's gonna get"", 'start': 277.77, 'duration': 4.11}, {'text': 'turned into a big coffee table for my', 'start': 280.29, 'duration': 4.77}, {'text': 'house over here underneath all that', 'start': 281.88, 'duration': 9.63}, {'text': 'stuff is my sauce top you back up here', 'start': 285.06, 'duration': 8.1}, {'text': ""you can see there's my Powermatic"", 'start': 291.51, 'duration': 6.63}, {'text': ""cleaner and more racks there's the"", 'start': 293.16, 'duration': 6.63}, {'text': 'ductwork from a paint booth I bought', 'start': 298.14, 'duration': 5.28}, {'text': ""that I have yet to set up there's more"", 'start': 299.79, 'duration': 6.93}, {'text': 'racks from the paint booth more just', 'start': 303.42, 'duration': 5.93}, {'text': 'stuff from the cabinet shop here', 'start': 306.72, 'duration': 5.31}, {'text': 'clamps all lots of clamps whatever wood', 'start': 309.35, 'duration': 4.24}, {'text': 'I had leftover in the building had to', 'start': 312.03, 'duration': 2.09}, {'text': 'get rid of', 'start': 313.59, 'duration': 3.24}, {'text': ""there's my jointer that's kind of sad"", 'start': 314.12, 'duration': 4.27}, {'text': ""seeing all this stuff out here there's"", 'start': 316.83, 'duration': 4.83}, {'text': 'my little shaper and underneath that', 'start': 318.39, 'duration': 5.64}, {'text': ""there's a couple of molders dust"", 'start': 321.66, 'duration': 5.64}, {'text': ""collector air purifier and I don't know"", 'start': 324.03, 'duration': 4.74}, {'text': ""whatever else is oh there's more lumber"", 'start': 327.3, 'duration': 4.92}, {'text': ""stacked up back there and then I've got"", 'start': 328.77, 'duration': 5.399}, {'text': 'a lot more lumber stacked up over here', 'start': 332.22, 'duration': 5.76}, {'text': 'too yeah this stuff all needs to get', 'start': 334.169, 'duration': 5.911}, {'text': ""used basically what I think I'm gonna go"", 'start': 337.98, 'duration': 5.01}, {'text': 'ahead and do is just get this cleaned up', 'start': 340.08, 'duration': 5.03}, {'text': 'and just go ahead and start using it', 'start': 342.99, 'duration': 5.07}, {'text': ""it's not a bad space I figure I'll put"", 'start': 345.11, 'duration': 5.619}, {'text': 'up some lights some electric and get', 'start': 348.06, 'duration': 6.81}, {'text': 'this thing on the road all right well I', 'start': 350.729, 'duration': 5.461}, {'text': 'hope you enjoyed this little tour of my', 'start': 354.87, 'duration': 3.299}, {'text': 'barn here um I think this is gonna make', 'start': 356.19, 'duration': 4.95}, {'text': 'pretty cool workspace I just got decided', 'start': 358.169, 'duration': 5.25}, {'text': ""I'm gonna go ahead and do it and um yeah"", 'start': 361.14, 'duration': 4.5}, {'text': 'hopefully you guys will enjoy watching', 'start': 363.419, 'duration': 5.431}, {'text': 'some videos turning this place into a', 'start': 365.64, 'duration': 5.76}, {'text': 'suitable workspace and now once again', 'start': 368.85, 'duration': 4.53}, {'text': 'please if you like this click the', 'start': 371.4, 'duration': 3.72}, {'text': 'subscribe button down there gave me the', 'start': 373.38, 'duration': 4.46}, {'text': 'thumbs up if you like this and comment', 'start': 375.12, 'duration': 5.64}, {'text': 'yeah let me know if you got any ideas', 'start': 377.84, 'duration': 5.98}, {'text': 'for this should be fun project the only', 'start': 380.76, 'duration': 6.24}, {'text': 'sort of big hurdle I see is trenching', 'start': 383.82, 'duration': 5.49}, {'text': 'over a you know probably hundred hundred', 'start': 387.0, 'duration': 3.69}, {'text': 'amp hour or a hundred amp electric', 'start': 389.31, 'duration': 3.99}, {'text': 'service from my pole but Oh Matt I think', 'start': 390.69, 'duration': 5.07}, {'text': 'it should be a relatively easy and sort', 'start': 393.3, 'duration': 4.799}, {'text': 'of fun project so anyway keep checking', 'start': 395.76, 'duration': 4.129}, {'text': 'back to my channel here and', 'start': 398.099, 'duration': 3.47}, {'text': 'they get this cleared out I should have', 'start': 399.889, 'duration': 3.571}, {'text': 'a bunch of woodworking content because', 'start': 401.569, 'duration': 2.97}, {'text': ""I've got a whole lot of things I'd like"", 'start': 403.46, 'duration': 3.329}, {'text': 'to get built for my house so anyway', 'start': 404.539, 'duration': 4.41}, {'text': 'thank you for watching please', 'start': 406.789, 'duration': 4.081}, {'text': 'you know subscribe give me a thumbs up', 'start': 408.949, 'duration': 3.99}, {'text': 'if you liked it and yeah', 'start': 410.87, 'duration': 3.359}, {'text': 'let me know what you think thank you for', 'start': 412.939, 'duration': 3.651}, {'text': 'watching', 'start': 414.229, 'duration': 2.361}]"
OJCf,vXLlf0Zhb_I,"[0, 1]",
bhCf,qyneI2P5ESI,[27],
29Cf,VG7K3KjHO6s,[310],
