ZJba,IRPF5YdtK7I,"[5, 16, 1027, 1903]",
Woba,ITyc5TNE_sg,"[2, 95, 135, 235, 297]",
HNba,IUcZ0NGR7_4,"[10, 97]",
L4ba,IVb24yVWarw,"[1021, 1110, 2923]","[{'text': ""this is a problem I'm sending this plea"", 'start': 0.0, 'duration': 11.58}, {'text': ""of mine to valve it's hard to explain my"", 'start': 5.58, 'duration': 15.51}, {'text': 'anticipation portal 2 spearing April', 'start': 11.58, 'duration': 14.939}, {'text': 'lady in some most fear but why do you', 'start': 21.09, 'duration': 8.759}, {'text': 'think you can make me wait this long for', 'start': 26.519, 'duration': 6.601}, {'text': ""this game there's just no sense skirting"", 'start': 29.849, 'duration': 6.48}, {'text': ""realm offended I'm you don't hate this"", 'start': 33.12, 'duration': 6.509}, {'text': ""so much now I want it so bad why can't"", 'start': 36.329, 'duration': 7.021}, {'text': ""it be both let's just shoot him please"", 'start': 39.629, 'duration': 6.921}, {'text': 'release portal 2', 'start': 43.35, 'duration': 3.2}, {'text': 'i minus on', 'start': 50.829, 'duration': 4.46}, {'text': 'I keep watching play', 'start': 56.12, 'duration': 3.41}, {'text': 'and every time', 'start': 60.92, 'duration': 7.09}, {'text': 'hear her voice I get chilled', 'start': 63.55, 'duration': 4.46}, {'text': 'but stories of our skins lost', 'start': 71.95, 'duration': 4.58}, {'text': ""what's up where"", 'start': 76.84, 'duration': 7.0}, {'text': ""or I think I might go same can't you"", 'start': 80.37, 'duration': 5.77}, {'text': 'understand', 'start': 83.84, 'duration': 4.04}, {'text': 'oh yeah', 'start': 86.14, 'duration': 4.85}, {'text': ""with this game I don't know what to"", 'start': 87.88, 'duration': 5.24}, {'text': ""i'm procrastinating"", 'start': 90.99, 'duration': 5.3}, {'text': 'never taking me', 'start': 93.12, 'duration': 3.17}, {'text': ""I know that you weren't big on felt hot"", 'start': 104.06, 'duration': 22.5}, {'text': ""baby three that was a joke please don't"", 'start': 112.84, 'duration': 16.339}, {'text': ""I'll cry"", 'start': 126.56, 'duration': 5.729}, {'text': ""I'm too"", 'start': 129.179, 'duration': 3.11}, {'text': '14 cats and me later', 'start': 132.38, 'duration': 3.98}, {'text': 'the edge or', 'start': 144.2, 'duration': 4.61}, {'text': 'every day', 'start': 146.09, 'duration': 2.72}, {'text': 'give me though', 'start': 151.66, 'duration': 2.66}, {'text': 'a portal to cry I need some shelter I', 'start': 155.069, 'duration': 7.311}, {'text': ""just won't survive"", 'start': 160.049, 'duration': 6.461}, {'text': 'i cubed', 'start': 162.38, 'duration': 4.13}, {'text': ""because I'm gonna die gonna die gonna"", 'start': 167.33, 'duration': 7.98}, {'text': 'die', 'start': 172.98, 'duration': 2.33}]"
O4ba,JXaW3bDId_A,"[5, 1545, 2674, 3312]",
9fba,JZF5wRXb3zg,"[16, 1534]",
xPba,JeIx4naTrkQ,"[496, 1329, 1730]",
BPba,cL7B1t5xwjM,"[496, 535]",
rYba,cMnoVD4suMs,"[2, 7, 95, 297, 742]","[{'text': ""well my name is ray Durham and I'm"", 'start': 4.88, 'duration': 4.44}, {'text': 'responsible for all of our rear wheel', 'start': 7.55, 'duration': 5.98}, {'text': 'drive SUV products then', 'start': 9.32, 'duration': 6.43}, {'text': 'category of rear-wheel drive SUV', 'start': 13.53, 'duration': 5.249}, {'text': 'absolutely the grand cherokee wrangler', 'start': 15.75, 'duration': 6.27}, {'text': 'and i also have a couple dodges in there', 'start': 18.779, 'duration': 6.541}, {'text': 'too as well you were at Moab last year', 'start': 22.02, 'duration': 6.0}, {'text': 'when you and your son first came over', 'start': 25.32, 'duration': 6.06}, {'text': 'and and met axial at the the Jeep booth', 'start': 28.02, 'duration': 5.129}, {'text': 'there in downtown Moab what what did you', 'start': 31.38, 'duration': 4.679}, {'text': 'think about the axial vehicles well', 'start': 33.149, 'duration': 6.721}, {'text': 'first of all um anytime we see an RC car', 'start': 36.059, 'duration': 6.901}, {'text': ""exhibit we rushed to it we've been"", 'start': 39.87, 'duration': 5.79}, {'text': 'involved in RC cars for a long time so', 'start': 42.96, 'duration': 4.5}, {'text': 'then the top that off with seeing a', 'start': 45.66, 'duration': 5.039}, {'text': 'little wrangler running around as well I', 'start': 47.46, 'duration': 4.829}, {'text': ""mean we're all right at home it was"", 'start': 50.699, 'duration': 4.441}, {'text': 'perfect and the thing that is really', 'start': 52.289, 'duration': 6.23}, {'text': 'amazing to me is the level of detail', 'start': 55.14, 'duration': 5.73}, {'text': 'normally you know we saw all kinds of', 'start': 58.519, 'duration': 6.551}, {'text': 'off-road and RC cars and what you notice', 'start': 60.87, 'duration': 7.2}, {'text': 'is you can tell us being an engineering', 'start': 65.07, 'duration': 6.72}, {'text': ""that they do things that's easy to make"", 'start': 68.07, 'duration': 6.93}, {'text': 'but when we grabbed one of the axial', 'start': 71.79, 'duration': 6.21}, {'text': 'Jeep Wranglers and you look at it you', 'start': 75.0, 'duration': 5.159}, {'text': 'look at the level of detail you look at', 'start': 78.0, 'duration': 6.119}, {'text': 'how well it mimics what my own Road', 'start': 80.159, 'duration': 6.75}, {'text': ""Wrangler is it's amazing it's just"", 'start': 84.119, 'duration': 5.25}, {'text': 'astonishing and I mean all the wave down', 'start': 86.909, 'duration': 4.92}, {'text': 'from the frame the section the', 'start': 89.369, 'duration': 6.301}, {'text': 'suspension axles then the upgrade', 'start': 91.829, 'duration': 8.341}, {'text': 'ability of changing to aluminum parts cv', 'start': 95.67, 'duration': 8.189}, {'text': 'joints the ring and pinion the ability', 'start': 100.17, 'duration': 6.75}, {'text': ""to change the shock valving I'm it's"", 'start': 103.859, 'duration': 6.061}, {'text': ""just phenomenal it's great then you take"", 'start': 106.92, 'duration': 5.299}, {'text': 'that and then we start driving them and', 'start': 109.92, 'duration': 4.799}, {'text': ""you think well you know it's hard to"", 'start': 112.219, 'duration': 5.83}, {'text': 'pull us away from playing with with the', 'start': 114.719, 'duration': 5.97}, {'text': 'Wrangler and how well the control and', 'start': 118.049, 'duration': 6.691}, {'text': 'how fine the crawl ratio allows you to', 'start': 120.689, 'duration': 6.39}, {'text': 'be able to manipulate and go over', 'start': 124.74, 'duration': 5.129}, {'text': 'obstacles in the traction level of the', 'start': 127.079, 'duration': 4.351}, {'text': 'tires I mean', 'start': 129.869, 'duration': 3.51}, {'text': ""it's it's very similar to what we do"", 'start': 131.43, 'duration': 5.729}, {'text': 'every day and engineering your son had a', 'start': 133.379, 'duration': 7.89}, {'text': 'lot of fun haha yes he did he enjoyed it', 'start': 137.159, 'duration': 6.45}, {'text': ""and he's with me here this year again"", 'start': 141.269, 'duration': 5.25}, {'text': 'awesome and and that was the first thing', 'start': 143.609, 'duration': 4.53}, {'text': 'he told when I told him I was coming to', 'start': 146.519, 'duration': 3.511}, {'text': ""meet with you guys again he's like oh"", 'start': 148.139, 'duration': 7.05}, {'text': ""that's great um so since we left he's"", 'start': 150.03, 'duration': 9.84}, {'text': ""taken the taken a vehicle and he's added"", 'start': 155.189, 'duration': 6.69}, {'text': ""upgraded parts I mean we've played"", 'start': 159.87, 'duration': 4.259}, {'text': ""around with different things I mean it's"", 'start': 161.879, 'duration': 5.73}, {'text': ""been it's been a great collection added"", 'start': 164.129, 'duration': 5.151}, {'text': 'to our collection', 'start': 167.609, 'duration': 4.641}, {'text': 'how I got started in college in', 'start': 169.28, 'duration': 5.25}, {'text': 'engineering school we had vehicle', 'start': 172.25, 'duration': 7.14}, {'text': 'dynamics as a class and one way of', 'start': 174.53, 'duration': 6.87}, {'text': 'trying to translate and play around with', 'start': 179.39, 'duration': 4.71}, {'text': 'the things that we had learned was to go', 'start': 181.4, 'duration': 5.88}, {'text': 'out and get our seat cars and we would', 'start': 184.1, 'duration': 6.12}, {'text': 'take that to the next level of tuning', 'start': 187.28, 'duration': 4.83}, {'text': 'plan tweaking things putting a little', 'start': 190.22, 'duration': 4.59}, {'text': 'bit bigger stay bars on them change in', 'start': 192.11, 'duration': 4.68}, {'text': 'stable our ratios took but we were very', 'start': 194.81, 'duration': 4.259}, {'text': 'limited in what you can do because the', 'start': 196.79, 'duration': 4.5}, {'text': ""parts weren't available so you would try"", 'start': 199.069, 'duration': 4.351}, {'text': ""to make your own and that's one of the"", 'start': 201.29, 'duration': 4.89}, {'text': 'beauties I think today is if you look at', 'start': 203.42, 'duration': 6.48}, {'text': 'the align of axial products and you look', 'start': 206.18, 'duration': 6.93}, {'text': 'at what you can do to upgrade and play', 'start': 209.9, 'duration': 6.45}, {'text': ""and tweak it's phenomenal there's so"", 'start': 213.11, 'duration': 6.03}, {'text': 'many different events in Moab that we', 'start': 216.35, 'duration': 4.56}, {'text': 'were able to come with an engineering', 'start': 219.14, 'duration': 4.11}, {'text': 'group get a lot of work done on multiple', 'start': 220.91, 'duration': 4.65}, {'text': 'different trails with multiple different', 'start': 223.25, 'duration': 5.519}, {'text': 'conditions and skill set at skill levels', 'start': 225.56, 'duration': 5.759}, {'text': 'um that it allows us to get a lot of', 'start': 228.769, 'duration': 4.981}, {'text': 'work done in one concentrated area all', 'start': 231.319, 'duration': 4.051}, {'text': ""of our jeeps we'd like to get out here"", 'start': 233.75, 'duration': 5.9}, {'text': 'to Moab and it gives us a full range of', 'start': 235.37, 'duration': 6.869}, {'text': 'testing all the way from a compass', 'start': 239.65, 'duration': 5.17}, {'text': 'Patriot all the way to our flagship', 'start': 242.239, 'duration': 6.571}, {'text': 'which is our rubicon wrangler we also', 'start': 244.82, 'duration': 7.199}, {'text': 'used the rubicon but that course allows', 'start': 248.81, 'duration': 6.54}, {'text': 'us really to stick to the wrangler and', 'start': 252.019, 'duration': 5.94}, {'text': ""the grand cherokee we've taken the grand"", 'start': 255.35, 'duration': 6.27}, {'text': 'cherokee through the Rubicon you really', 'start': 257.959, 'duration': 6.601}, {'text': ""it's it shows that there's a reason it"", 'start': 261.62, 'duration': 5.549}, {'text': 'wears those trail rated badge and and', 'start': 264.56, 'duration': 6.18}, {'text': ""that's enough information that every one"", 'start': 267.169, 'duration': 5.581}, {'text': 'of our customers know that it goes', 'start': 270.74, 'duration': 4.17}, {'text': 'through this type of rigor', 'start': 272.75, 'duration': 5.7}, {'text': 'before it becomes a trail rated Jeep so', 'start': 274.91, 'duration': 5.61}, {'text': 'in the office this is the best part and', 'start': 278.45, 'duration': 4.47}, {'text': ""if you walk by my office today you'll"", 'start': 280.52, 'duration': 6.74}, {'text': ""see a piece of wood and it's a ramp and"", 'start': 282.92, 'duration': 8.19}, {'text': 'what I have on it is an RC car to', 'start': 287.26, 'duration': 5.71}, {'text': 'demonstrate to all the people they', 'start': 291.11, 'duration': 3.57}, {'text': 'constantly come to the great wine we go', 'start': 292.97, 'duration': 3.99}, {'text': 'an independent suspension and what I do', 'start': 294.68, 'duration': 5.22}, {'text': 'is I break out my ramp I take a little', 'start': 296.96, 'duration': 6.57}, {'text': 'little Jeep RC vehicle and I start', 'start': 299.9, 'duration': 6.03}, {'text': 'running it up the ramp and I show them', 'start': 303.53, 'duration': 7.19}, {'text': 'why a Wrangler needs to be a solid axle', 'start': 305.93, 'duration': 7.89}, {'text': 'because of its articulation and the', 'start': 310.72, 'duration': 6.16}, {'text': 'ability to get the ramp index numbers', 'start': 313.82, 'duration': 4.53}, {'text': 'that we need to make this the best', 'start': 316.88, 'duration': 4.65}, {'text': 'off-road vehicle in the world we were', 'start': 318.35, 'duration': 10.38}, {'text': 'using the model to show how a full track', 'start': 321.53, 'duration': 11.55}, {'text': 'bar how a how the whole steering system', 'start': 328.73, 'duration': 6.66}, {'text': 'works all the way from the gear to the', 'start': 333.08, 'duration': 5.58}, {'text': 'drag link to cross car tube and showing', 'start': 335.39, 'duration': 5.85}, {'text': 'him using the model showing him hey', 'start': 338.66, 'duration': 6.24}, {'text': ""here's why we do what we do and and it's"", 'start': 341.24, 'duration': 5.16}, {'text': 'all the way even to the engineering', 'start': 344.9, 'duration': 4.08}, {'text': ""groups it's always good to be able to"", 'start': 346.4, 'duration': 5.1}, {'text': 'show somebody that comes in well what is', 'start': 348.98, 'duration': 4.17}, {'text': 'that what do you mean how do you what', 'start': 351.5, 'duration': 2.669}, {'text': ""does that mean well it's a lot easier"", 'start': 353.15, 'duration': 4.56}, {'text': 'than going downstairs and and grab on a', 'start': 354.169, 'duration': 6.511}, {'text': 'car I can reach over roll a model over', 'start': 357.71, 'duration': 4.709}, {'text': ""and say well here's what I'm talking"", 'start': 360.68, 'duration': 3.12}, {'text': ""about it's just it's great it's"", 'start': 362.419, 'duration': 3.391}, {'text': 'fantastic tool then we take it one step', 'start': 363.8, 'duration': 5.43}, {'text': ""further and that is it's a relief you"", 'start': 365.81, 'duration': 5.4}, {'text': ""know we work long hours there's no doubt"", 'start': 369.23, 'duration': 4.89}, {'text': ""about um when we're in the middle of"", 'start': 371.21, 'duration': 6.54}, {'text': ""getting projects through it's nothing to"", 'start': 374.12, 'duration': 5.7}, {'text': 'start at six thirty six in the morning', 'start': 377.75, 'duration': 3.72}, {'text': ""and work till seven eight o'clock at"", 'start': 379.82, 'duration': 4.17}, {'text': 'night the good part about it is later on', 'start': 381.47, 'duration': 4.02}, {'text': 'in the afternoon after everybody has', 'start': 383.99, 'duration': 3.929}, {'text': ""gone the phone to stop ringing and we're"", 'start': 385.49, 'duration': 3.929}, {'text': 'sitting around having a conversation', 'start': 387.919, 'duration': 3.691}, {'text': ""like we're doing now our best thinking"", 'start': 389.419, 'duration': 4.891}, {'text': ""time that's the time when they can we"", 'start': 391.61, 'duration': 3.81}, {'text': 'break out', 'start': 394.31, 'duration': 4.05}, {'text': ""carbs and we'll have obstacles and"", 'start': 395.42, 'duration': 5.58}, {'text': ""things and it's a great relief just to"", 'start': 398.36, 'duration': 4.65}, {'text': 'kind of take back decompress a little', 'start': 401.0, 'duration': 4.71}, {'text': 'bit play around with the cars talk about', 'start': 403.01, 'duration': 5.7}, {'text': 'different things and really use them as', 'start': 405.71, 'duration': 5.37}, {'text': 'a training and like a tool as opposed to', 'start': 408.71, 'duration': 5.13}, {'text': 'a toy I would actually not call them a', 'start': 411.08, 'duration': 4.59}, {'text': ""toy i would say they're more than a toy"", 'start': 413.84, 'duration': 4.5}, {'text': 'toys are for kids something everybody', 'start': 415.67, 'duration': 5.13}, {'text': ""can't say that they have that they spend"", 'start': 418.34, 'duration': 5.1}, {'text': 'the time to research work with the', 'start': 420.8, 'duration': 4.32}, {'text': 'engineering groups work with the design', 'start': 423.44, 'duration': 4.11}, {'text': 'office work with all the right people to', 'start': 425.12, 'duration': 8.12}, {'text': 'have the most authentic looking a RC car', 'start': 427.55, 'duration': 5.69}, {'text': 'you', 'start': 446.19, 'duration': 2.06}]"
3zba,qCuIfP_pFDs,[3],
1Pba,gYr-FxksSSA,[11],
